Start Date,End Date,Event Name,Page Path,Event Count,Total Users,Pulled At
28daysAgo,yesterday,nav_service_click,/services/custom-plugins-features/,2,1,6/29/2026
28daysAgo,yesterday,nav_service_click,/services/woocommerce-integrations/,2,2,6/29/2026
28daysAgo,yesterday,page_view,/case-studies/beghelli-usa-website-redesign-mas500-integration/,2,2,6/29/2026
28daysAgo,yesterday,page_view,/glorion-casino-nervenkitzel-und-spielspa-auf-hochstem-niveau/,2,1,6/29/2026
28daysAgo,yesterday,page_view,/lunubet-kotimaan-pelaajien-varma-kasinoyhteiso/,2,1,6/29/2026
28daysAgo,yesterday,page_view,/what-to-automate-in-woocommerce-operations-and-what-still-needs-human-review/,2,2,6/29/2026
28daysAgo,yesterday,page_view,/why-woocommerce-inventory-sync-problems-happen-between-systems/,2,2,6/29/2026
28daysAgo,yesterday,scroll,/checkout/,2,1,6/29/2026
28daysAgo,yesterday,scroll,/how-to-know-if-your-woocommerce-store-needs-a-rebuild-or-just-optimization/,2,2,6/29/2026
28daysAgo,yesterday,scroll,/insights/page/2/,2,1,6/29/2026
28daysAgo,yesterday,scroll,/project/wr-ultimate-price-list/,2,2,6/29/2026
28daysAgo,yesterday,scroll,/woocommerce-developer-miami/,2,2,6/29/2026
28daysAgo,yesterday,scroll,/woocommerce-wholesale-prices-without-separate-store/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/case-studies/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/case-studies/our-tiny-garden/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/case-studies/replacing-a-failing-shipstation-for-a-hight-volumen-beauty-brand/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/case-studies/woocommerce-payment-diagnostics/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/how-to-know-if-your-woocommerce-store-needs-a-rebuild-or-just-optimization/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/insights/,2,2,6/29/2026
28daysAgo,yesterday,session_start,/why-woocommerce-inventory-sync-problems-happen-between-systems/,2,2,6/29/2026
28daysAgo,yesterday,store_audit_cta_click,/case-studies/woocommerce-payment-diagnostics/,2,1,6/29/2026
28daysAgo,yesterday,user_engagement,/case-studies/replacing-a-failing-shipstation-for-a-hight-volumen-beauty-brand/,2,2,6/29/2026
28daysAgo,yesterday,user_engagement,/services/,2,2,6/29/2026
28daysAgo,yesterday,user_engagement,/services/custom-plugins-features/,2,2,6/29/2026
28daysAgo,yesterday,user_engagement,/why-woocommerce-checkout-breaks-after-plugin-updates/,2,2,6/29/2026
28daysAgo,yesterday,user_engagement,/why-woocommerce-inventory-sync-problems-happen-between-systems/,2,2,6/29/2026
28daysAgo,yesterday,case_study_to_audit_click,/case-studies/woocommerce-payment-diagnostics/,1,1,6/29/2026
28daysAgo,yesterday,click,/contact/,1,1,6/29/2026
28daysAgo,yesterday,consultation_cta_click,/case-studies/woocommerce-payment-diagnostics/,1,1,6/29/2026
28daysAgo,yesterday,consultation_cta_click,/insights/,1,1,6/29/2026
28daysAgo,yesterday,consultation_cta_click,/services/performance-checkout-rescue/,1,1,6/29/2026
28daysAgo,yesterday,email_click,/services/performance-checkout-rescue/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/add-extra-fields-to-categories-without-plugin-wordpress/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/before-connecting-woocommerce-to-an-erp-or-inventory-system-decide-which-system-is-in-charge/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/before-rebuilding-woocommerce-store-audit-first/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/case-studies/beghelli-usa-website-redesign-mas500-integration/,1,1,6/29/2026
28daysAgo,yesterday,first_visit,/case-studies/replacing-a-failing-shipstation-for-a-hight-volumen-beauty-brand/,1,1,6/29/2026
